City,Lat,Lon,Temp(F),Humidity%,Wind Speed,Cloudiness%
hasaki,35.73,140.83,63.63,55,2.24,20
teluk nibung,3.0,99.82,75.74,92,3.78,100
mataura,-46.19,168.86,61.0,67,5.99,63
pevek,69.7,170.31,26.89,95,3.24,100
albany,42.6,-73.97,51.66,57,2.95,22
laiyang,36.98,120.71,67.98,37,14.41,0
bambous virieux,-20.34,57.76,69.89,94,8.05,75
iquique,-20.22,-70.14,66.2,72,8.05,90
puerto ayora,-0.74,-90.35,79.65,69,16.11,20
chuy,-33.7,-53.46,67.42,94,10.89,100
ponta do sol,32.67,-17.1,58.57,72,2.24,40
mar del plata,-38.0,-57.56,59.54,82,16.11,75
punta arenas,-53.15,-70.92,32.0,79,4.7,0
mizdah,31.45,12.98,66.69,40,13.38,0
mount gambier,-37.83,140.77,51.8,100,6.93,90
zhezkazgan,47.8,67.71,50.52,69,7.61,0
port elizabeth,-33.92,25.57,50.0,93,5.82,20
cabinda,-5.55,12.2,77.88,89,6.78,19
saint-joseph,-21.37,55.62,71.6,68,17.22,75
katsuura,35.13,140.3,60.87,58,3.36,20
chicama,-7.84,-79.15,69.76,73,6.04,5
maldonado,-34.67,-54.92,68.86,83,23.04,75
hermanus,-34.42,19.23,60.94,62,6.98,0
gympie,-26.19,152.66,71.01,76,1.99,29
tashtagol,52.77,87.89,62.4,56,3.42,92
mahebourg,-20.41,57.7,69.8,94,8.05,75
tiksi,71.69,128.87,20.59,96,8.93,100
chanika,-5.42,38.02,68.54,81,4.85,100
labranzagrande,5.56,-72.58,68.49,54,2.26,97
aykhal,66.0,111.5,21.2,79,8.95,90
mount isa,-20.73,139.5,82.4,32,11.41,0
brighton,50.83,-0.14,47.7,100,1.99,91
jamestown,42.1,-79.24,53.6,62,5.82,1
kohila,59.17,24.76,35.19,93,9.17,90
ribeira grande,38.52,-28.7,59.09,64,12.08,100
wewak,-3.55,143.63,85.78,64,2.89,35
gazimurskiy zavod,51.55,118.33,58.23,25,7.45,100
amahai,-3.33,128.92,84.0,92,3.0,93
ormara,25.21,64.64,78.01,90,5.12,0
coihaique,-45.58,-72.07,50.0,100,2.24,90
veydelevka,50.15,38.45,42.17,74,8.28,84
gizo,-8.1,156.84,85.93,69,5.61,83
pawai,24.27,80.17,81.54,33,5.73,0
ushuaia,-54.8,-68.3,41.0,75,5.03,42
gao,16.64,1.64,88.74,11,6.08,0
pisco,-13.7,-76.22,69.89,73,16.11,0
kapaa,22.08,-159.32,79.88,61,20.8,40
nikolskoye,59.7,30.79,35.15,96,13.42,90
hamilton,39.18,-84.53,68.45,49,14.99,40
ilulissat,69.22,-51.1,24.8,68,3.36,0
cape town,-33.93,18.42,54.79,87,5.82,0
sur,22.57,59.53,85.71,54,2.8,8
busselton,-33.65,115.33,50.22,55,8.61,0
kasongo,-4.45,26.67,69.94,81,1.12,85
nouadhibou,20.93,-17.03,66.36,81,15.21,30
barrow,71.29,-156.79,3.2,71,12.75,1
san lorenzo,-25.33,-57.53,77.0,65,2.24,0
guarapari,-20.67,-40.5,68.52,94,4.7,0
moissala,8.34,17.77,82.62,46,7.63,81
coos bay,43.37,-124.22,60.06,82,9.17,1
east london,-33.02,27.91,62.94,67,3.42,100
boddam,57.47,-1.78,35.87,86,2.24,13
popondetta,-8.75,148.25,83.44,82,3.53,100
ipixuna,-1.76,-48.8,78.8,88,6.93,75
kalawit,8.07,122.52,85.78,67,6.98,0
cabo san lucas,22.89,-109.91,90.07,11,13.87,5
neka,36.65,53.3,59.0,93,6.93,75
arraial do cabo,-22.97,-42.03,69.8,100,3.36,20
airai,-8.93,125.41,70.05,43,3.13,0
hobart,-42.88,147.33,62.6,63,10.29,20
longyearbyen,78.22,15.64,37.4,69,27.51,75
atuona,-9.8,-139.03,81.59,80,19.66,70
soe,-9.86,124.28,76.05,45,4.09,7
khatanga,71.97,102.5,18.82,97,4.94,100
el alto,-4.27,-81.21,70.72,72,15.66,12
lompoc,34.64,-120.46,68.05,64,13.87,1
arambagh,22.88,87.78,80.11,74,2.55,0
chokurdakh,70.63,147.92,17.1,96,3.33,6
san cristobal,7.77,-72.22,70.02,64,0.69,47
caravelas,-17.71,-39.25,73.15,85,8.32,90
avera,33.19,-82.53,70.36,46,3.36,1
port-gentil,-0.72,8.78,81.75,84,16.17,100
rawson,-43.3,-65.1,57.81,76,8.93,0
newport,51.59,-3.0,45.0,97,1.48,69
carnarvon,-24.87,113.63,66.2,55,12.75,100
port alfred,-33.59,26.89,60.01,85,1.01,14
tuatapere,-46.13,167.68,61.0,67,8.01,100
sioux lookout,50.1,-91.92,51.8,57,5.82,75
iqaluit,63.75,-68.51,30.09,92,6.93,90
marsa matruh,31.35,27.25,61.84,82,7.05,35
lazaro cardenas,17.96,-102.2,80.35,63,6.17,0
qaanaaq,77.48,-69.36,0.63,82,5.03,100
uruzgan,32.83,66.0,59.92,24,2.35,98
kodiak,57.79,-152.41,51.8,50,14.99,20
